family,order,class,phylum,kingdom,description,
chinchillidae,rodentia,mammalia,chordata,animalia,chinchilla;viscacha,
chlamyphoridae,cingulata,mammalia,chordata,animalia,armadillo,
cichlasomatinae,cichlidae,perciformes,chordata,animalia,cichlid,
ciconiidae,ciconiiformes,aves,chordata,animalia,stork,
clupeidae,clupeiformes,actinopterygii,chordata,animalia,herring;shad;sardine;hilsa;menhaden,
colubridae,squamata,reptilia,chordata,animalia,snake,
columbidae,columbiformes,aves,chordata,animalia,pigeon;dove,
coraciidae,bucerotiformes,aves,chordata,animalia,roller,
corvidae,passeriformes,aves,chordata,animalia,crow,
corytophanidae,squamata,reptilia,chordata,animalia,basilisk,
cotingidae,passeriformes,aves,chordata,animalia,cotinga,
cracidae,galliformes,aves,chordata,animalia,chachalaca;guan;curassow,
crocodylidae,crocodilia,reptilia,chordata,animalia,crocodile,
cryptobranchidae,urodela,amphibia,chordata,animalia,giant salamander,
cuculidae,cuculiformes,aves,chordata,animalia,cuckoo;roadrunner,
cyprinidae,cypriniformes,actinopterygii,chordata,animalia,minnow,
dactyloidae,squamata,reptilia,chordata,animalia,anole,
dasyatidae,myliobatiformes,chondrichthyes,chordata,animalia,whiptail stingray,
dasypodidae,cingulata,mammalia,chordata,animalia,armadillo,
dasyproctidae,rodentia,mammalia,chordata,animalia,agoutis;acouchis,
dasyuridae,dasyuromorphia,mammalia,chordata,animalia,quoll;antechinus;dunnart;tasmanian devil,
daubentoniidae,primates,mammalia,chordata,animalia,aye-aye,
delphinidae,artiodactyla,mammalia,chordata,animalia,dolphin,
dendrobatidae,anura,amphibia,chordata,animalia,poison dart frog,
diplodactylidae,sauria,reptilia,chordata,animalia,geckos,
dipodidae,rodentia,mammalia,chordata,animalia,rodent,
dromaiidae,casuariiformes,aves,chordata,animalia,emu,
elapidae,squamata,reptilia,chordata,animalia,snake,
elephantidae,proboscidea,mammalia,chordata,animalia,elephant,
eleutherodactylidae,anura,amphibia,chordata,animalia,coqui frog,
emydidae,testudines,reptilia,chordata,animalia,pond turtle,
ephippidae,perciformes,actinopterygii,chordata,animalia,spadefish,
equidae,perissodactyla,mammalia,chordata,animalia,horse;zebra;donkey,
erethizontidae,rodentia,mammalia,chordata,animalia,new world porcupine,
estrildidae,passeriformes,aves,chordata,animalia,estrildid finch,
eupleridae,carnivora,mammalia,chordata,animalia,euplerid;malagasy mongoose,
eurypygidae,eurypygiformes,aves,chordata,animalia,sunbittern,
falconidae,cathartiformes,aves,chordata,animalia,falcon,
felidae,carnivora,mammalia,chordata,animalia,cat,
gavialidae,crocodilia,reptilia,chordata,animalia,gharial,
gekkonidae,squamata,reptilia,chordata,animalia,gecko,
geoemydidae,testudines,reptilia,chordata,animalia,turtle,
ginglymostomatidae,orectolobiformes,chondrichthyes,chordata,animalia,carpet shark,
giraffidae,artiodactyla,mammalia,chordata,animalia,giraffe;okapi,
gruidae,gruiformes,aves,chordata,animalia,crane,
helodermatidae,squamata,reptilia,chordata,animalia,lizard,
herpestidae,carnivora,mammalia,chordata,animalia,mongoose,
hippopotamidae,artiodactyla,mammalia,chordata,animalia,hippopotamus,
holocentridae,beryciformes,actinopterygii,chordata,animalia,squirrelfish,
hominidae,primates,mammalia,chordata,animalia,great ape,
hyaenidae,carnivora,mammalia,chordata,animalia,hyena,
hylidae,anura,amphibia,chordata,animalia,tree frog,
hylobatidae,primates,mammalia,chordata,animalia,gibbon;lesser ape,
hystricidae,rodentia,mammalia,chordata,animalia,porcupine,
icteridae,passeriformes,aves,chordata,animalia,icterid,
iguanidae,squamata,reptilia,chordata,animalia,iguanas,
irenidae,passeriformes,aves,chordata,animalia,fairy-bluebird,
kinosternidae,testudines,reptilia,chordata,animalia,mud turtle,
labridae,perciformes,actinopterygii,chordata,animalia,wrasse,
laridae,charadriiformes,aves,chordata,animalia,Gull,
leiothrichidae,passeriformes,aves,chordata,animalia,laughingthrush,
lemuridae,primates,mammalia,chordata,animalia,lemur,
leporidae,lagomorpha,mammalia,chordata,animalia,primate,
lorisidae,primates,mammalia,chordata,animalia,lorise;potto;angwantibos,
lutjanidae,perciformes,actinopterygii,chordata,animalia,perciform fish,
lybiidae,piciformes,aves,chordata,animalia,snapper,
macropodidae,diprotodontia,mammalia,chordata,animalia,kangaroo,
macroscelididae,macroscelidea,mammalia,chordata,animalia,elephant shrew,
mantellidae,anura,amphibia,chordata,animalia,madagascan frog,
megalonychidae,pilosa,mammalia,chordata,animalia,sloth,
megapodiidae,galliformes,aves,chordata,animalia,megapodes,
melanotaeniidae,atheriniformes,actinopterygii,chordata,animalia,rainbowfish,
meliphagidae,passeriformes,aves,chordata,animalia,honeyeater,
mephitidae,carnivora,mammalia,chordata,animalia,skunk,
microhylidae,anura,amphibia,chordata,animalia,narrow-mouthed frog,
momotidae,coraciiformes,aves,chordata,animalia,momot,
mullidae,perciformes,actinopterygii,chordata,animalia,goatfish,
muraenidae,anguilliformes,actinopterygii,chordata,animalia,moray eel,
muridae,rodentia,mammalia,chordata,animalia,rodent,
muscicapidae,passeriformes,aves,chordata,animalia,old-world flycatcher,
musophagidae,musophagiformes,aves,chordata,animalia,turaco,
mustelidae,carnivora,mammalia,chordata,animalia,otter;badger;weasel;marten;ferret;stoat;mink;wolverine,
myliobatidae,myliobatiformes,chondrichthyes,chordata,animalia,eagle ray,
myrmecophagidae,pilosa,mammalia,chordata,animalia,anteater,
nesomyidae,rodentia,mammalia,chordata,animalia,rodent,
numididae,galliformes,aves,chordata,animalia,guineafowl,
nymphalidae,lepidoptera,insecta,arthropoda,animalia,brush-footed butterfly,
odobenidae,carnivora,mammalia,chordata,animalia,pinniped,
odontaspididae,lamniformes,chondrichthyes,chordata,animalia,sand shark,
odontophoridae,galliformes,aves,chordata,animalia,new-world quail,
orectolobidae,orectolobiformes,chondrichthyes,chordata,animalia,wobbegong,
orycteropodidae,tubulidentata,mammalia,chordata,animalia,aardvark,
otariidae,carnivora,mammalia,chordata,animalia,eared seal,
otididae,otidiformes,aves,chordata,animalia,bustard,
ovis,bovidae,artiodactyla,chordata,animalia,sheep,
papilionidae,lepidoptera,insecta,arthropoda,animalia,swallowtail butterfly,
pelecanidae,pelecaniformes,aves,chordata,animalia,pelican,
phascolarctidae,diprotodontia,mammalia,chordata,animalia,marsupial,
phasianidae,galliformes,aves,chordata,animalia,pheasant;partridge;junglefowl;chicken;quail;peafowl,
phasmatidae,phasmida,insecta,arthropoda,animalia,stick insect,
phocidae,carnivora,mammalia,chordata,animalia,earless seal,
phoenicopteridae,phoenicopteriformes,aves,chordata,animalia,flamingo,
phrynosomatidae,squamata,reptilia,chordata,animalia,lizard,
phylliidae,phasmatodea,insecta,arthropoda,animalia,leaf insect,
phyllostomidae,chiroptera,mammalia,chordata,animalia,leaf-nosed bat,
pieridae,lepidoptera,insecta,arthropoda,animalia,pierid butterfly,
pipridae,passeriformes,aves,chordata,animalia,manakin,
pitheciidae,primates,mammalia,chordata,animalia,titi;saki monkey;uakari,
pittidae,passeriformes,aves,chordata,animalia,pitta,
plesiopidae,perciformes,actinopterygii,chordata,animalia,longfin,
ploceidae,passeriformes,aves,chordata,animalia,weavers,
pluvianidae,charadriiformes,aves,chordata,animalia,plover,
podargidae,podargiformes,aves,chordata,animalia,frogmouth,
polychrotidae,squamata,reptilia,chordata,animalia,chameleon anole,
pomacentridae,perciformes,actinopterygii,chordata,animalia,damselfish;clownfish,
procaviidae,hyracoidea,mammalia,chordata,animalia,hyrax,
procyonidae,carnivora,mammalia,chordata,animalia,raccoons;coatis;kinkajous;olinguitos,
pseudophasmatidae,phasmatodea ,insecta,arthropoda,animalia,striped walkingstick,
psittacidae,psittaciformes,aves,chordata,animalia,parrot;cockatoo,
psittaculidae,psittaciformes,aves,chordata,animalia,parrot,
pteroinae,scorpaeniformes,actinopterygii,chordata,animalia,lionfish,
pteropodidae,chiroptera,mammalia,chordata,animalia,megabat,
ptilonorhynchidae,passeriformes,aves,chordata,animalia,bowerbird,
pythonidae,squamata,reptilia,chordata,animalia,python,
pyxicephalidae,anura,amphibia,chordata,animalia,frog,
rallidae,gruiformes,aves,chordata,animalia,rail,
ramphastidae,piciformes,aves,chordata,animalia,barbet;toucan,
ranidae,anura,amphibia,chordata,animalia,bull frog,
recurvirostridae,charadriiformes,aves,chordata,animalia,avocet;stilt,
reduviidae,hemiptera,insecta,arthropoda,animalia,assassin bug,
rhacophoridae,anura,amphibia,chordata,animalia,shrub frog,
rheidae,rheiformes,aves,chordata,animalia,flightless ratite birds,
rhinocerotidae,perissodactyla,mammalia,chordata,animalia,rhinoceros,
rhynochetidae,eurypygiformes,aves,chordata,animalia,kagu,
rousettus,pteropodidae,chiropera,chordata,animalia,old world fruit bat,
sagittariidae,accipitriformes,aves,chordata,animalia,secretary bird,
salamandridae,urodela,amphibia,chordata,animalia,true salamander;newt,
scaphiopodidae,anura,amphibia,chordata,animalia,spadefoot toads,
sciaenidae,perciformes,actinopterygii,chordata,animalia,drum;croaker,
scincidae,squamata,reptilia,chordata,animalia,skink,
sciuridae,rodentia,mammalia,chordata,animalia,squirrel,
scolopendridae,scolopendromorpha,chilopoda,arthropoda,animalia,centipede,
scopidae,pelecaniformes,aves,chordata,animalia,stork,
scorpionidae,scorpiones,arachnida,arthropoda,animalia,burrowing scorpion,
serranidae,perciformes,actinopterygii,chordata,animalia,sea bass;grouper,
serrasalmidae,characiformes,actinopterygii,chordata,animalia,piranha;pacu;silver dollar,
shinisauridae,squamata,reptilia,chordata,animalia,anguimorph lizard,
siganidae,perciformes,actinopterygii,chordata,animalia,rabbitfish,
sparidae,perciformes,actinopterygii,chordata,animalia,sea bream;porgie,
spheniscidae,sphenisciformes,aves,chordata,animalia,penguin,
stegostomatidae,orectolobiformes,chondrichthyes,chordata,animalia,zebra shark,
sternidae,charadriiformes,aves,chordata,animalia,tern,
stichopodidae,aspidochirotida,holothuroidea,echinodermata,animalia,sea cucumber,
strigidae,strigiformes,aves,chordata,animalia,true owl,
struthionidae,struthioniformes,aves,chordata,animalia,ostrich,
sturnidae,passeriformes,aves,chordata,animalia,starling,
suidae,artiodactyla,mammalia,chordata,animalia,pig;hog;boar,
syngnathidae,syngnathiformes,actinopterygii,chordata,animalia,seahorse;pipefishe;seadragon,
tapiridae,perissodactyla,mammalia,chordata,animalia,tapir,
tayassuidae,artiodactyla,mammalia,chordata,animalia,peccary,
teiidae,squamata,reptilia,chordata,animalia,whiptail;tegu,
testudinidae,testudines,reptilia,chordata,animalia,tortoise,
tetraodontidae,tetraodontiformes,actinopterygii,chordata,animalia,puffer fish,
theraphosidae,araneae,arachnida,chordata,animalia,tarantula,
threskiornithidae,pelecaniformes,aves,chordata,animalia,ibis;spoonbill,
triakidae,carcharhiniformes,chondrichthyes,chordata,animalia,shark,
triglidae,scorpaeniformes,actinopterygii,chordata,animalia,sea robin;gurnard,
trogonidae,trogoniformes,aves,chordata,animalia,trogon;quetzal,
tupaiidae,scandentia,mammalia,chordata,animalia,treeshrew,
typhlonectidae,gymnophiona,amphibia,chordata,animalia,aquatic caecilian;rubber eel,
tyrannidae,passeriformes,aves,chordata,animalia,tyrant flycatcher,
tytonidae,strigiformes,aves,chordata,animalia,barn-owl,
ulmaridae,semaeostomeae,scyphozoa,cnidaria,animalia,jellyfish,
ursidae,carnivora,mammalia,chordata,animalia,bear,
varanidae,squamata,reptilia,chordata,animalia,lizard,
viperidae,squamata,reptilia,chordata,animalia,viper,
viverridae,carnivora,mammalia,chordata,animalia,viverrid,
zosteropidae,passeriformes,aves,chordata,animalia,white-eye,
phalacrocoracidae,suliformes,aves,chordata,animalia,cormorant;shag,
haematopodidae,charadriiformes,aves,chordata,animalia,oystercatcher,
podocnemididae,testudines,reptilia,chordata,animalia,turtle,
dicroglossidae,anura,amphibia,chordata,animalia,fork tongued frog,
lamprophiidae,squamata,reptilia,chordata,animalia,snakes,
petauridae,diprotodontia,mammalia,chordata,animalia,striped possum,
platysternidae,testudines,reptilia,chordata,animalia,freshwater turtle,
leptodactylidae,anura,amphibia,chordata,animalia,southern frog,
vombatidae,diprotodontia,mammalia,chordata,animalia,wombat,
